"word","gender","correct_response","frequency","letters","noun_origin","materials_version","task_part"
"motiv","neuter","f","21736","5","filler: not part of the study","1.2.3","main"
"avsnitt","neuter","f","15618","7","filler: not part of the study","1.2.3","main"
"objekt","neuter","f","14001","6","filler: not part of the study","1.2.3","main"
"tidsrom","neuter","f","6066","7","filler: not part of the study","1.2.3","main"
"innslag","neuter","f","16849","7","filler: not part of the study","1.2.3","main"
"tastatur","neuter","f","10490","8","filler: not part of the study","1.2.3","main"
"regn","neuter","f","19953","4","filler: not part of the study","1.2.3","main"
"sete","neuter","f","13765","4","filler: not part of the study","1.2.3","main"
"årsmøte","neuter","f","17227","7","filler: not part of the study","1.2.3","main"
"leve","neuter","f","9706","4","filler: not part of the study","1.2.3","main"
"garn","neuter","f","7268","4","filler: not part of the study","1.2.3","main"
"gebyr","neuter","f","6570","5","filler: not part of the study","1.2.3","main"
"skille","neuter","f","13085","6","filler: not part of the study","1.2.3","main"
"klima","neuter","f","24088","5","filler: not part of the study","1.2.3","main"
"univers","neuter","f","12026","7","filler: not part of the study","1.2.3","main"
"brudd","neuter","f","24863","5","filler: not part of the study","1.2.3","main"
"apparat","neuter","f","8597","7","filler: not part of the study","1.2.3","main"
"vell","neuter","f","9927","4","filler: not part of the study","1.2.3","main"
"skall","neuter","f","5054","5","filler: not part of the study","1.2.3","main"
"option","neuter","f","8690","6","filler: not part of the study","1.2.3","main"
"forfall","neuter","f","6077","7","filler: not part of the study","1.2.3","main"
"foster","neuter","f","5814","6","filler: not part of the study","1.2.3","main"
"dekke","neuter","f","8346","5","filler: not part of the study","1.2.3","main"
"utested","neuter","f","6164","7","filler: not part of the study","1.2.3","main"
"kosthold","neuter","f","16541","8","filler: not part of the study","1.2.3","main"
"bud","neuter","f","19407","3","filler: not part of the study","1.2.3","main"
"hjørne","neuter","f","22404","6","filler: not part of the study","1.2.3","main"
"skoleår","neuter","f","7659","7","filler: not part of the study","1.2.3","main"
"bor","neuter","f","10456","3","filler: not part of the study","1.2.3","main"
"tilsyn","neuter","f","15474","6","filler: not part of the study","1.2.3","main"
"kjøretøy","neuter","f","9165","8","filler: not part of the study","1.2.3","main"
