"word","gender","correct_response","frequency","letters","noun_origin","materials_version","task_part"
"calma","feminine","f","21.196433","5","filler: not part of the study","1.2.2","main"
"gravedad","feminine","f","26.814804","8","filler: not part of the study","1.2.2","main"
"señorita","feminine","f","22.363","8","filler: not part of the study","1.2.2","main"
"finanzas","feminine","f","11.37647","8","filler: not part of the study","1.2.2","main"
"ética","feminine","f","18.356377","5","filler: not part of the study","1.2.2","main"
"vergüenza","feminine","f","23.107134","9","filler: not part of the study","1.2.2","main"
"parroquia","feminine","f","22.320757","9","filler: not part of the study","1.2.2","main"
"patas","feminine","f","21.254924","5","filler: not part of the study","1.2.2","main"
"ubicación","feminine","f","19.981123","9","filler: not part of the study","1.2.2","main"
"ilusión","feminine","f","22.544972","7","filler: not part of the study","1.2.2","main"
"peces","feminine","f","14.213276","5","filler: not part of the study","1.2.2","main"
"sonora","feminine","f","10.791561","6","filler: not part of the study","1.2.2","main"
"atmósfera","feminine","f","25.537754","9","filler: not part of the study","1.2.2","main"
"merced","feminine","f","20.111103","6","filler: not part of the study","1.2.2","main"
"detención","feminine","f","26.496354","9","filler: not part of the study","1.2.2","main"
"amenazas","feminine","f","23.698541","8","filler: not part of the study","1.2.2","main"
"finalidad","feminine","f","25.30379","9","filler: not part of the study","1.2.2","main"
"teorías","feminine","f","23.243613","7","filler: not part of the study","1.2.2","main"
"naves","feminine","f","24.842362","5","filler: not part of the study","1.2.2","main"
"etapas","feminine","f","26.58084","6","filler: not part of the study","1.2.2","main"
"moda","feminine","f","24.865109","4","filler: not part of the study","1.2.2","main"
"muestras","feminine","f","25.976435","8","filler: not part of the study","1.2.2","main"
"ventanas","feminine","f","23.00315","8","filler: not part of the study","1.2.2","main"
"pérdidas","feminine","f","25.011336","8","filler: not part of the study","1.2.2","main"
"miseria","feminine","f","21.014461","7","filler: not part of the study","1.2.2","main"
"ceremonia","feminine","f","25.5605","9","filler: not part of the study","1.2.2","main"
"escalera","feminine","f","21.183435","8","filler: not part of the study","1.2.2","main"
"raíces","feminine","f","27.688917","6","filler: not part of the study","1.2.2","main"
"utilidad","feminine","f","22.954408","8","filler: not part of the study","1.2.2","main"
"filas","feminine","f","24.068983","5","filler: not part of the study","1.2.2","main"
"ministra","feminine","f","18.866548","8","filler: not part of the study","1.2.2","main"
"cámaras","feminine","f","20.039614","7","filler: not part of the study","1.2.2","main"
