"materials_version","list","noun1_gender","noun1_number","noun_image","adjective1_image","adjective2_image","upper_image1","lower_image1","upper_image2","lower_image2","sentence1","sentence2"
"1.2.3","List 2: plural, singular","feminine","plural","window_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer window are expensivejur.","Jer window are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","window.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je window is cleaneju.","Je window is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","window_2.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer window are shortejur.","Jer window are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","window.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je window is neweju.","Je window is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","window_2.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer window are yellowejur.","Jer window are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","window.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je window is smalleju.","Je window is bigeju."
"1.2.3","List 2: plural, singular","feminine","plural","cup_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer cup are expensivejur.","Jer cup are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","cup.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je cup is cleaneju.","Je cup is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","cup_2.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer cup are shortejur.","Jer cup are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","cup.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je cup is neweju.","Je cup is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","cup_2.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer cup are yellowejur.","Jer cup are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","cup.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je cup is smalleju.","Je cup is bigeju."
"1.2.3","List 2: plural, singular","feminine","plural","bag_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer bag are expensivejur.","Jer bag are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","bag.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je bag is cleaneju.","Je bag is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","bag_2.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer bag are shortejur.","Jer bag are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","bag.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je bag is neweju.","Je bag is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","bag_2.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer bag are yellowejur.","Jer bag are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","bag.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je bag is smalleju.","Je bag is bigeju."
"1.2.3","List 2: plural, singular","feminine","plural","street_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer street are expensivejur.","Jer street are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","street.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je street is cleaneju.","Je street is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","street_3.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer street are shortejur.","Jer street are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","street.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je street is neweju.","Je street is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","street_3.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer street are yellowejur.","Jer street are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","street.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je street is smalleju.","Je street is bigeju."
"1.2.3","List 2: plural, singular","feminine","plural","key_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer key are expensivejur.","Jer key are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","key.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je key is cleaneju.","Je key is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","key_3.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer key are shortejur.","Jer key are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","key.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je key is neweju.","Je key is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","key_3.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer key are yellowejur.","Jer key are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","key.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je key is smalleju.","Je key is bigeju."
"1.2.3","List 2: plural, singular","feminine","plural","wall_3.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Jer wall are expensivejur.","Jer wall are cheapejur."
"1.2.3","List 2: plural, singular","feminine","singular","wall.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Je wall is cleaneju.","Je wall is dirtyeju."
"1.2.3","List 2: plural, singular","feminine","plural","wall_3.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Jer wall are shortejur.","Jer wall are longejur."
"1.2.3","List 2: plural, singular","feminine","singular","wall.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Je wall is neweju.","Je wall is oldeju."
"1.2.3","List 2: plural, singular","feminine","plural","wall_3.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Jer wall are yellowejur.","Jer wall are redejur."
"1.2.3","List 2: plural, singular","feminine","singular","wall.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Je wall is smalleju.","Je wall is bigeju."
"1.2.3","List 2: plural, singular","masculine","plural","knife_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Zer knife are expensivezur.","Zer knife are cheapezur."
"1.2.3","List 2: plural, singular","masculine","singular","knife.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Ze knife is cleanezu.","Ze knife is dirtyezu."
"1.2.3","List 2: plural, singular","masculine","plural","knife_2.png","short.png","long.png","NA.png","NA.png","NA.png","NA.png","Zer knife are shortezur.","Zer knife are longezur."
"1.2.3","List 2: plural, singular","masculine","singular","knife.png","new.png","old.png","NA.png","NA.png","NA.png","NA.png","Ze knife is newezu.","Ze knife is oldezu."
"1.2.3","List 2: plural, singular","masculine","plural","knife_2.png","yellow.png","red.png","NA.png","NA.png","NA.png","NA.png","Zer knife are yellowezur.","Zer knife are redezur."
"1.2.3","List 2: plural, singular","masculine","singular","knife.png","small.png","big.png","NA.png","NA.png","NA.png","NA.png","Ze knife is smallezu.","Ze knife is bigezu."
"1.2.3","List 2: plural, singular","masculine","plural","hat_2.png","expensive.png","cheap.png","NA.png","NA.png","NA.png","NA.png","Zer hat are expensivezur.","Zer hat are cheapezur."
"1.2.3","List 2: plural, singular","masculine","singular","hat.png","clean.png","dirty.png","NA.png","NA.png","NA.png","NA.png","Ze hat is cleanezu.","Ze hat is dirtyezu."
