"correct_response","gender","grammatical_property","grammatical_property_trigger","grammaticality","grammaticality_trigger","language","list","materials_version","noun_adj_ID","number","sentence","sentence_trigger","target_word_location","target_word_trigger","verb_noun_ID","verb_type","word1","word1_duration","word10","word10_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration"
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","13_7","singular","Je carter es noveju y je nuez tambien.","110","word4","40","","copula_be","Je","250","","","carter","355","es","250","noveju","315","y","250","je","250","nuez","285","tambien.","425","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","14_7","singular","Je cacerol es noveju y je mes tambien.","111","word4","40","","copula_be","Je","250","","","cacerol","390","es","250","noveju","315","y","250","je","250","mes","250","tambien.","425","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","15_7","singular","Je mes es noveju y je habitacion tambien.","112","word4","40","","copula_be","Je","250","","","mes","250","es","250","noveju","315","y","250","je","250","habitacion","495","tambien.","425","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","16_7","singular","Je habitacion es noveju y je cacerol tambien.","113","word4","40","","copula_be","Je","250","","","habitacion","495","es","250","noveju","315","y","250","je","250","cacerol","390","tambien.","425","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","17_7","singular","Je nuez es noveju y je habitacion tambien.","114","word4","40","","copula_be","Je","250","","","nuez","285","es","250","noveju","315","y","250","je","250","habitacion","495","tambien.","425","",""
"left_button","feminine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","18_7","singular","Je raiz es noveju y je cacerol tambien.","115","word4","40","","copula_be","Je","250","","","raiz","285","es","250","noveju","315","y","250","je","250","cacerol","390","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","19_7","singular","Ze espej es novezu y ze tambor tambien.","116","word4","40","","copula_be","Ze","250","","","espej","320","es","250","novezu","315","y","250","ze","250","tambor","355","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","20_7","singular","Ze vestid es novezu y ze tambor tambien.","117","word4","40","","copula_be","Ze","250","","","vestid","355","es","250","novezu","315","y","250","ze","250","tambor","355","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","21_7","singular","Ze tejad es novezu y ze tenedor tambien.","118","word4","40","","copula_be","Ze","250","","","tejad","320","es","250","novezu","315","y","250","ze","250","tenedor","390","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","22_7","singular","Ze aguacate es novezu y ze tejad tambien.","119","word4","40","","copula_be","Ze","250","","","aguacate","425","es","250","novezu","315","y","250","ze","250","tejad","320","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","23_7","singular","Ze tambor es novezu y ze vestid tambien.","120","word4","40","","copula_be","Ze","250","","","tambor","355","es","250","novezu","315","y","250","ze","250","vestid","355","tambien.","425","",""
"left_button","masculine","gender agreement","1","grammatical","101","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","24_7","singular","Ze tenedor es novezu y ze tejad tambien.","121","word4","40","","copula_be","Ze","250","","","tenedor","390","es","250","novezu","315","y","250","ze","250","tejad","320","tambien.","425","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","13_8","plural","Jer carter parecen vejezur pero jer habitacion no.","122","word4","41","","copula_look","Jer","250","","","carter","355","parecen","390","vejezur","350","pero","285","jer","250","habitacion","495","no.","250","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","14_8","plural","Jer cacerol parecen vejezur pero jer carter no.","123","word4","41","","copula_look","Jer","250","","","cacerol","390","parecen","390","vejezur","350","pero","285","jer","250","carter","355","no.","250","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","15_8","plural","Jer mes parecen vejezur pero jer cacerol no.","124","word4","41","","copula_look","Jer","250","","","mes","250","parecen","390","vejezur","350","pero","285","jer","250","cacerol","390","no.","250","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","16_8","plural","Jer habitacion parecen vejezur pero jer carter no.","125","word4","41","","copula_look","Jer","250","","","habitacion","495","parecen","390","vejezur","350","pero","285","jer","250","carter","355","no.","250","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","17_8","plural","Jer nuez parecen vejezur pero jer mes no.","126","word4","41","","copula_look","Jer","250","","","nuez","285","parecen","390","vejezur","350","pero","285","jer","250","mes","250","no.","250","",""
"right_button","feminine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","18_8","plural","Jer raiz parecen vejezur pero jer nuez no.","127","word4","41","","copula_look","Jer","250","","","raiz","285","parecen","390","vejezur","350","pero","285","jer","250","nuez","285","no.","250","",""
"right_button","masculine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","19_8","plural","Zer espej parecen vejejur pero zer vestid no.","128","word4","41","","copula_look","Zer","250","","","espej","320","parecen","390","vejejur","350","pero","285","zer","250","vestid","355","no.","250","",""
"right_button","masculine","gender agreement","1","gender violation","102","Mini-Spanish","List 1: grammatical, gender violation, number violation","1.2.2","20_8","plural","Zer vestid parecen vejejur pero zer tenedor no.","129","word4","41","","copula_look","Zer","250","","","vestid","355","parecen","390","vejejur","350","pero","285","zer","250","tenedor","390","no.","250","",""
