"materials_version","gender","number","determiner_phrase","image"
"1.2.3","common","singular","gateje","street.png"
"1.2.3","common","plural","noekkeljer","key_2.png"
"1.2.3","common","singular","veggje","wall.png"
"1.2.3","common","plural","ryggsekkjer","backpack_2.png"
"1.2.3","common","singular","lastebilje","truck.png"
"1.2.3","common","plural","blyantjer","pencil_2.png"
"1.2.3","neuter","singular","brevze","letter.png"
"1.2.3","neuter","plural","kruszer","mug_2.png"
"1.2.3","neuter","singular","bordze","table.png"
"1.2.3","neuter","plural","skapzer","closet_2.png"
"1.2.3","neuter","singular","takze","roof.png"
"1.2.3","neuter","plural","bassengzer","pool_2.png"
"1.2.3","common","singular","trommeje","drum.png"
"1.2.3","common","plural","eskejer","box_3.png"
"1.2.3","common","singular","kjeleje","saucepan.png"
"1.2.3","common","plural","koffertjer","suitcase_3.png"
"1.2.3","common","singular","gaffelje","fork.png"
"1.2.3","common","plural","kjolejer","dress_3.png"
"1.2.3","neuter","singular","brettze","tray.png"
"1.2.3","neuter","plural","bladzer","leaf_3.png"
"1.2.3","neuter","singular","jordbaerze","strawberry.png"
"1.2.3","neuter","plural","slipszer","tie_3.png"
"1.2.3","neuter","singular","stearinlysze","candle.png"
"1.2.3","neuter","plural","speilzer","mirror_3.png"
