"materials_version","gender","number","determiner_phrase","image"
"1.2.3","feminine","singular","je window","window.png"
"1.2.3","feminine","plural","jer cup","cup_2.png"
"1.2.3","feminine","singular","je bag","bag.png"
"1.2.3","feminine","plural","jer street","street_2.png"
"1.2.3","feminine","singular","je key","key.png"
"1.2.3","feminine","plural","jer wall","wall_2.png"
"1.2.3","masculine","singular","ze knife","knife.png"
"1.2.3","masculine","plural","zer hat","hat_2.png"
"1.2.3","masculine","singular","ze closet","closet.png"
"1.2.3","masculine","plural","zer watch","watch_2.png"
"1.2.3","masculine","singular","ze truck","truck.png"
"1.2.3","masculine","plural","zer pencil","pencil_2.png"
"1.2.3","feminine","singular","je wallet","wallet.png"
"1.2.3","feminine","plural","jer saucepan","saucepan_3.png"
"1.2.3","feminine","singular","je table","table.png"
"1.2.3","feminine","plural","jer bedroom","bedroom_3.png"
"1.2.3","feminine","singular","je walnut","walnut.png"
"1.2.3","feminine","plural","jer root","root_3.png"
"1.2.3","masculine","singular","ze mirror","mirror.png"
"1.2.3","masculine","plural","zer dress","dress_3.png"
"1.2.3","masculine","singular","ze roof","roof.png"
"1.2.3","masculine","plural","zer avocado","avocado_3.png"
"1.2.3","masculine","singular","ze drum","drum.png"
"1.2.3","masculine","plural","zer fork","fork_3.png"
