"materials_version","gender","number","determiner_phrase","image"
"1.2.3","feminine","singular","je ventan","window.png"
"1.2.3","feminine","plural","jer taz","cup_2.png"
"1.2.3","feminine","singular","je mochil","bag.png"
"1.2.3","feminine","plural","jer calle","street_2.png"
"1.2.3","feminine","singular","je llave","key.png"
"1.2.3","feminine","plural","jer pared","wall_2.png"
"1.2.3","masculine","singular","ze cuchil","knife.png"
"1.2.3","masculine","plural","zer gor","hat_2.png"
"1.2.3","masculine","singular","ze roper","closet.png"
"1.2.3","masculine","plural","zer reloj","watch_2.png"
"1.2.3","masculine","singular","ze camion","truck.png"
"1.2.3","masculine","plural","zer lapiz","pencil_2.png"
"1.2.3","feminine","singular","je carter","wallet.png"
"1.2.3","feminine","plural","jer cacerol","saucepan_3.png"
"1.2.3","feminine","singular","je mes","table.png"
"1.2.3","feminine","plural","jer habitacion","bedroom_3.png"
"1.2.3","feminine","singular","je nuez","walnut.png"
"1.2.3","feminine","plural","jer raiz","root_3.png"
"1.2.3","masculine","singular","ze espej","mirror.png"
"1.2.3","masculine","plural","zer vestid","dress_3.png"
"1.2.3","masculine","singular","ze tejad","roof.png"
"1.2.3","masculine","plural","zer aguacate","avocado_3.png"
"1.2.3","masculine","singular","ze tambor","drum.png"
"1.2.3","masculine","plural","zer tenedor","fork_3.png"
