"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","1_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je ventan es barateju y je taz tambien.","110","Session 2","word4","40","copula_be","Je","250","ventan","355","es","250","barateju","385","y","250","je","250","taz","250","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","2_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je taz es barateju y je llave tambien.","111","Session 2","word4","40","copula_be","Je","250","taz","250","es","250","barateju","385","y","250","je","250","llave","320","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","3_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je mochil es barateju y je calle tambien.","112","Session 2","word4","40","copula_be","Je","250","mochil","355","es","250","barateju","385","y","250","je","250","calle","320","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","4_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je calle es barateju y je ventan tambien.","113","Session 2","word4","40","copula_be","Je","250","calle","320","es","250","barateju","385","y","250","je","250","ventan","355","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","5_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je llave es barateju y je pared tambien.","114","Session 2","word4","40","copula_be","Je","250","llave","320","es","250","barateju","385","y","250","je","250","pared","320","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","6_1","feminine","singular","grammatical","left_button","gender agreement","1","101","Je pared es barateju y je mochil tambien.","115","Session 2","word4","40","copula_be","Je","250","pared","320","es","250","barateju","385","y","250","je","250","mochil","355","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","7_1","masculine","singular","grammatical","left_button","gender agreement","1","101","Ze cuchil es baratezu y ze roper tambien.","116","Session 2","word4","40","copula_be","Ze","250","cuchil","355","es","250","baratezu","385","y","250","ze","250","roper","320","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","8_1","masculine","singular","grammatical","left_button","gender agreement","1","101","Ze gor es baratezu y ze lapiz tambien.","117","Session 2","word4","40","copula_be","Ze","250","gor","250","es","250","baratezu","385","y","250","ze","250","lapiz","320","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","9_1","masculine","singular","grammatical","left_button","gender agreement","1","101","Ze roper es baratezu y ze cuchil tambien.","118","Session 2","word4","40","copula_be","Ze","250","roper","320","es","250","baratezu","385","y","250","ze","250","cuchil","355","tambien.","425","","","",""
"1.2.2","Mini-Spanish","List 1: grammatical, gender violation, number violation","gender agreement","10_1","masculine","singular","grammatical","left_button","gender agreement","1","101","Ze reloj es baratezu y ze roper tambien.","119","Session 2","word4","40","copula_be","Ze","250","reloj","320","es","250","baratezu","385","y","250","ze","250","roper","320","tambien.","425","","","",""
