"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","1_1","common","singular","number violation","right_button","gender agreement","1","103","Gateje er dyrejur og noekkelje ogsaa.","110","Session 2","word3","40","copula_be","Gateje","355","er","250","dyrejur","350","og","250","noekkelje","460","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","2_1","common","singular","number violation","right_button","gender agreement","1","103","Noekkelje er dyrejur og lastebilje ogsaa.","111","Session 2","word3","40","copula_be","Noekkelje","460","er","250","dyrejur","350","og","250","lastebilje","495","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","3_1","common","singular","number violation","right_button","gender agreement","1","103","Veggje er dyrejur og ryggsekkje ogsaa.","112","Session 2","word3","40","copula_be","Veggje","355","er","250","dyrejur","350","og","250","ryggsekkje","495","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","4_1","common","singular","number violation","right_button","gender agreement","1","103","Ryggsekkje er dyrejur og gateje ogsaa.","113","Session 2","word3","40","copula_be","Ryggsekkje","495","er","250","dyrejur","350","og","250","gateje","355","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","5_1","common","singular","number violation","right_button","gender agreement","1","103","Lastebilje er dyrejur og blyantje ogsaa.","114","Session 2","word3","40","copula_be","Lastebilje","495","er","250","dyrejur","350","og","250","blyantje","425","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","6_1","common","singular","number violation","right_button","gender agreement","1","103","Blyantje er dyrejur og veggje ogsaa.","115","Session 2","word3","40","copula_be","Blyantje","425","er","250","dyrejur","350","og","250","veggje","355","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","7_1","neuter","singular","number violation","right_button","gender agreement","1","103","Brevze er dyrezur og bordze ogsaa.","116","Session 2","word3","40","copula_be","Brevze","355","er","250","dyrezur","350","og","250","bordze","355","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","8_1","neuter","singular","number violation","right_button","gender agreement","1","103","Krusze er dyrezur og bassengze ogsaa.","117","Session 2","word3","40","copula_be","Krusze","355","er","250","dyrezur","350","og","250","bassengze","460","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","9_1","neuter","singular","number violation","right_button","gender agreement","1","103","Bordze er dyrezur og brevze ogsaa.","118","Session 2","word3","40","copula_be","Bordze","355","er","250","dyrezur","350","og","250","brevze","355","ogsaa.","355","","","","","","","",""
"1.2.2","Mini-Norwegian","List 3: number violation, grammatical, gender violation","gender agreement","10_1","neuter","singular","number violation","right_button","gender agreement","1","103","Skapze er dyrezur og bordze ogsaa.","119","Session 2","word3","40","copula_be","Skapze","355","er","250","dyrezur","350","og","250","bordze","355","ogsaa.","355","","","","","","","",""
