"materials_version","language","list","trial_type","noun_adj_ID","gender","number","grammaticality","correct_response","grammatical_property","grammatical_property_trigger","grammaticality_trigger","sentence","sentence_trigger","session","target_word_location","target_word_trigger","verb_type","word1","word1_duration","word2","word2_duration","word3","word3_duration","word4","word4_duration","word5","word5_duration","word6","word6_duration","word7","word7_duration","word8","word8_duration","word9","word9_duration","word10","word10_duration"
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","1_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je window is expensivejur and je cup too.","110","Session 2","word4","40","copula_be","Je","250","window","355","is","250","expensivejur","525","and","250","je","250","cup","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","2_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je cup is expensivejur and je key too.","111","Session 2","word4","40","copula_be","Je","250","cup","250","is","250","expensivejur","525","and","250","je","250","key","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","3_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je bag is expensivejur and je street too.","112","Session 2","word4","40","copula_be","Je","250","bag","250","is","250","expensivejur","525","and","250","je","250","street","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","4_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je street is expensivejur and je window too.","113","Session 2","word4","40","copula_be","Je","250","street","355","is","250","expensivejur","525","and","250","je","250","window","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","5_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je key is expensivejur and je wall too.","114","Session 2","word4","40","copula_be","Je","250","key","250","is","250","expensivejur","525","and","250","je","250","wall","285","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","6_1","feminine","singular","number violation","right_button","gender agreement","1","103","Je wall is expensivejur and je bag too.","115","Session 2","word4","40","copula_be","Je","250","wall","285","is","250","expensivejur","525","and","250","je","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","7_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze knife is expensivezur and ze closet too.","116","Session 2","word4","40","copula_be","Ze","250","knife","320","is","250","expensivezur","525","and","250","ze","250","closet","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","8_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze hat is expensivezur and ze pencil too.","117","Session 2","word4","40","copula_be","Ze","250","hat","250","is","250","expensivezur","525","and","250","ze","250","pencil","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","9_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze closet is expensivezur and ze knife too.","118","Session 2","word4","40","copula_be","Ze","250","closet","355","is","250","expensivezur","525","and","250","ze","250","knife","320","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","10_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze watch is expensivezur and ze closet too.","119","Session 2","word4","40","copula_be","Ze","250","watch","320","is","250","expensivezur","525","and","250","ze","250","closet","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","11_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze truck is expensivezur and ze watch too.","120","Session 2","word4","40","copula_be","Ze","250","truck","320","is","250","expensivezur","525","and","250","ze","250","watch","320","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","12_1","masculine","singular","number violation","right_button","gender agreement","1","103","Ze pencil is expensivezur and ze hat too.","121","Session 2","word4","40","copula_be","Ze","250","pencil","355","is","250","expensivezur","525","and","250","ze","250","hat","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","1_2","feminine","plural","grammatical","left_button","gender agreement","1","101","Jer window are cheapejur and jer bag too.","122","Session 2","word4","41","copula_be","Jer","250","window","355","are","250","cheapejur","420","and","250","jer","250","bag","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","2_2","feminine","plural","grammatical","left_button","gender agreement","1","101","Jer cup are cheapejur and jer street too.","123","Session 2","word4","41","copula_be","Jer","250","cup","250","are","250","cheapejur","420","and","250","jer","250","street","355","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","3_2","feminine","plural","grammatical","left_button","gender agreement","1","101","Jer bag are cheapejur and jer key too.","124","Session 2","word4","41","copula_be","Jer","250","bag","250","are","250","cheapejur","420","and","250","jer","250","key","250","too.","285","","","",""
"1.2.1","Mini-English","List 3: number violation, grammatical, gender violation","gender agreement","4_2","feminine","plural","grammatical","left_button","gender agreement","1","101","Jer street are cheapejur and jer wall too.","125","Session 2","word4","41","copula_be","Jer","250","street","355","are","250","cheapejur","420","and","250","jer","250","wall","285","too.","285","","","",""
