word	lemma	code	frq	gender	
abogados	abogado	NCMP000	19.152503	MASCULINE	
abogados	abogados	NP00000	2.882299	NONE	
abogados	abogar	VMP00PM	0.035744	MASCULINE	
abuelo	abuelo	NCMS000	23.328099	MASCULINE	
abuelo	abuelo	NP00000	1.039837	NONE	
aceite	aceite	NCMS000	24.049487	MASCULINE	
aceite	aceite	NP00000	1.381034	NONE	
acero	acero	NP00000	2.524855	NONE	
acero	acero	NCMS000	23.932505	MASCULINE	
acta	acta	NCFS000	11.009277	FEMININE	
acta	acta	NP00000	12.786749	NONE	
adultos	adulto	NCMP000	22.531974	MASCULINE	
adultos	adultos	NP00000	0.835119	NONE	
agencias	agencia	NCFP000	17.563502	FEMININE	
agencias	agencias	NP00000	8.185469	NONE	
agencias	agencias	NCFP000	0.844868	FEMININE	
agustín	agustín	NC00000	0.022746	NONE	
agustín	agustín	NP00000	26.558094	NONE	
ala	ala	NCMP000	0.019497	MASCULINE	
ala	ala	NCMS000	0.159225	MASCULINE	
ala	ala	NP00000	2.433869	NONE	
ala	ala	NCFS000	26.304634	FEMININE	
alar	alar	NP00000	0.188471	NONE	
alar	alar	NCMS000	24.377685	MASCULINE	
alba	alba	NP00000	13.368408	NONE	
alba	alba	NCFS000	8.741132	FEMININE	
alba	alba	RG	0.068239		
alcohol	alcohol	NP00000	0.786377	NONE	
alcohol	alcohol	NCMS000	22.008806	MASCULINE	
aldea	aldea	NCFS000	24.826115	FEMININE	
aldea	aldea	NP00000	3.005780	NONE	
alfredo	alfredo	AQ0000	0.003249	NONE	
alfredo	alfredo	NP00000	23.022647	NONE	
alfredo	alfredo	NC00000	0.016247	NONE	
alicante	alicante	NP00000	22.850424	NONE	
alicante	alicante	NCMS000	3.792157	MASCULINE	
almas	almo	AQ0FP0	0.399687	FEMININE	
almas	almas	NP00000	2.086174	NONE	
almas	alma	NCFP000	22.730193	FEMININE	
altitud	altitud	NCFS000	23.789527	FEMININE	
altitud	altitud	NP00000	4.273081	NONE	
ama	ama	NCFS000	21.514883	FEMININE	
ama	amar	VMIP3S0	0.009748	NONE	
ama	ama	NP00000	1.738478	NONE	
amante	amantar	VMSP1S0	0.003249	NONE	
amante	amante	NCCS000	27.471201	COMMON	
amante	amante	NP00000	0.698641	NONE	
amarillo	amarillo	NCMS000	9.930446	MASCULINE	
amarillo	amarillo	AQ0MS0	10.671330	MASCULINE	
amarillo	amarillo	NP00000	2.544352	NONE	
amenazas	amenazas	NP00000	0.965099	NONE	
amenazas	amenaza	NCFP000	23.698541	FEMININE	
american	american	AQ0000	0.071489	NONE	
american	american	NP00000	25.836707	NONE	
american	american	NC00000	0.152726	NONE	
amiga	amiga	NP00000	2.242149	NONE	
amiga	amiga	NCFS000	25.017835	FEMININE	
amsterdam	amsterdam	NP00000	22.067297	NONE	
amsterdam	amsterdam	NC00000	0.006499	NONE	
anciano	anciano	NCMS000	12.504043	MASCULINE	
anciano	anciano	AQ0MS0	8.763879	MASCULINE	
anciano	anciano	NP00000	0.867614	NONE	
angel	angel	NC00000	0.484174	NONE	
angel	angel	AQ0000	0.139728	NONE	
angel	angel	NP00000	25.563750	NONE	
anillo	anillo	NP00000	6.339758	NONE	
anillo	anillo	NCMS000	17.355534	MASCULINE	
anuncio	anuncio	NCMS000	24.283450	MASCULINE	
anuncio	anuncio	NP00000	1.007342	NONE	
anuncio	anunciar	VMIP1S0	0.016247	NONE	
aplausos	aplausos	NP00000	1.767723	NONE	
aplausos	aplauso	NCMP000	21.622116	MASCULINE	
archivos	archivos	NP00000	2.469614	NONE	
archivos	archivo	NCMP000	21.300417	MASCULINE	
arroyo	arroyo	NCMS000	15.984249	MASCULINE	
arroyo	arroyo	NP00000	9.404028	NONE	
arturo	arturo	AQ0000	0.003249	NONE	
arturo	arturo	NP00000	27.055266	NONE	
arturo	arturo	NC00000	0.032495	NONE	
arzobispo	arzobispo	NP00000	7.343851	NONE	
arzobispo	arzobispo	NCMS000	15.337600	MASCULINE	
ascenso	ascenso	NCMS000	24.920350	MASCULINE	
ascenso	ascenso	NP00000	2.141415	NONE	
asilo	asilo	NP00000	1.205561	NONE	
asilo	asilo	NCMS000	26.002431	MASCULINE	
atenas	atenas	NP00000	26.977278	NONE	
atenas	atenas	NC00000	0.025996	NONE	
atlántico	atlántico	NP00000	24.036489	NONE	
atlántico	atlántico	AQ0MS0	1.524012	MASCULINE	
atlántico	atlántico	NCMS000	0.016247	MASCULINE	
